line_use,use_of_sub,way_to_sub,use_of_sub,avg_time_min,experience,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,top_three_complaints,most_common_reason_for_delay,opinion_price,opinion_on_increased_fares,borough,location,zip_code,collection_method,date,time,month,day_name,hour,is_weekend
N,~5 days per week,Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,True,Negative,,,,online,2019-01-07,20:57:00,1,Monday,20,False
R,"More than once a week, varies",Walk,Work,40 - 60 min,Somewhat satisfied,Everyday,10 - 20 min,Use another train,All the time,"['Delays', 'Station infrastructure', 'Lack of handicap access']",Train traffic,False,Positive,,,,online,2019-01-07,20:57:00,1,Monday,20,False
L,Once a week,Walk,Other,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Customer service', 'Station infrastructure']",Train traffic,True,Positive,,,10010,online,2019-01-07,20:58:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,60 - 90 min,Not satisfied,Everyday,20 - 45 min,Use another train,Only on weekends,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,False,Negative,,,11209,online,2019-01-07,20:58:00,1,Monday,20,False
2,Everyday / Almost everyday,Walk,School,20 - 40 min,Not satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Signal malfunction,False,Positive,,,,online,2019-01-07,20:59:00,1,Monday,20,False
N,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-07,20:59:00,1,Monday,20,False
R,"Weekdays, Mon - Fri",Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,True,Positive,,,,online,2019-01-07,21:00:00,1,Monday,21,False
4,Everyday / Almost everyday,Walk,Work,60 - 90 min,Somewhat satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Waiting for signal change,True,Neutral,,,,online,2019-01-07,21:00:00,1,Monday,21,False
Q,~5 days per week,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Old trains', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,,,,online,2019-01-07,21:00:00,1,Monday,21,False
A,Once a month,Walk,Other,60 - 90 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['Station infrastructure', 'Old trains', 'Lack of handicap access']",Train traffic,True,Positive,,,,online,2019-01-07,21:02:00,1,Monday,21,False
R,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Station infrastructure']",Waiting for signal change,True,Positive,,,11209,online,2019-01-07,21:02:00,1,Monday,21,False
6,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'High fares', 'Lack of handicap access']",Train traffic,False,Positive,,,,online,2019-01-07,21:02:00,1,Monday,21,False
R,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Neutral,,,11209,online,2019-01-07,21:03:00,1,Monday,21,False
G,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Take a bus,Almost never,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Waiting for signal change,True,Positive,,,11222,online,2019-01-07,21:03:00,1,Monday,21,False
B,"More than once a week, varies",,Other,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,True,Positive,,,10030,online,2019-01-07,21:03:00,1,Monday,21,False
G,Everyday / Almost everyday,Walk,Work,< 20 min,Highly unsatisfied,A few times a week,10 - 20 min,Walk,Only on weekends,['Overcrowded trains'],Train traffic,True,Unaware,,,11222,online,2019-01-07,21:03:00,1,Monday,21,False
2,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Sick passenger,True,Unaware,,,,online,2019-01-07,21:04:00,1,Monday,21,False
N,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Frequent route changes', 'High fares', 'Old trains']",Signal malfunction,False,Positive,,,,online,2019-01-07,21:05:00,1,Monday,21,False
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Take a bus,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,True,Other / No thoughts,,,,online,2019-01-07,21:05:00,1,Monday,21,False
4,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Unaware,,,11201,online,2019-01-07,21:05:00,1,Monday,21,False
R,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Old trains', 'Overcrowded trains']",Train traffic,True,Unaware,,,11209,online,2019-01-07,21:06:00,1,Monday,21,False
7,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Old trains', 'Lack of handicap access']",Train traffic,True,Negative,,,,online,2019-01-07,21:06:00,1,Monday,21,False
6,"More than once a week, varies",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Customer service', 'Old trains']",Train traffic,True,Positive,,,,online,2019-01-07,21:07:00,1,Monday,21,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Neutral,,,11220,online,2019-01-07,21:07:00,1,Monday,21,False
6,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,Everyday,5 - 10 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,True,Negative,,,10462,online,2019-01-07,21:08:00,1,Monday,21,False
3,Everyday / Almost everyday,Walk,School,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only at night,"['Delays', 'High fares', 'Overcrowded trains']",No reason is given,True,Negative,,,11213,online,2019-01-07,21:08:00,1,Monday,21,False
2,Everyday / Almost everyday,LIRR,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Neutral,,,,online,2019-01-07,21:11:00,1,Monday,21,False
E,,Bus,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Neutral,,,,online,2019-01-07,21:12:00,1,Monday,21,False
C,Everyday / Almost everyday,Walk,School,20 - 40 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,"['High fares', 'Overcrowded trains', 'Lack of handicap access']",No reason is given,False,Negative,,,,online,2019-01-07,21:13:00,1,Monday,21,False
1,"Weekdays, Mon - Fri",Walk,Other,60 - 90 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Crime / Safety', 'Old trains']",Train traffic,False,Negative,,,11209,online,2019-01-07,21:15:00,1,Monday,21,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,False,Positive,,,10034,online,2019-01-07,21:15:00,1,Monday,21,False
F,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'High fares']",Signal malfunction,False,Positive,,,11372,online,2019-01-07,21:15:00,1,Monday,21,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only at night,"['Frequent route changes', 'Overcrowded trains', 'Lack of handicap access']",Waiting for signal change,False,Positive,,,,online,2019-01-07,21:19:00,1,Monday,21,False
E,~5 days per week,Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Overcrowded trains']",Train traffic,True,Positive,,,11374,online,2019-01-07,21:20:00,1,Monday,21,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Use another train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,True,Positive,,,11220,online,2019-01-10,15:35:00,1,Thursday,15,False
F,~5 days per week,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Frequent route changes', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Neutral,,,11215,online,2019-01-07,21:20:00,1,Monday,21,False
4,"Weekdays, Mon - Fri",Metro North,Work,< 20 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Almost never,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,True,Neutral,,,10541,online,2019-01-07,21:21:00,1,Monday,21,False
Q,Everyday / Almost everyday,Walk,Work,< 20 min,Very satisfied,Almost never,10 - 20 min,Wait for next train,Almost never,"['Delays', 'Customer service', 'Station infrastructure']",Train traffic,True,Unaware,,,,online,2019-01-07,21:22:00,1,Monday,21,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,5 - 10 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Positive,,,11209,online,2019-01-07,21:22:00,1,Monday,21,False
D,"Weekdays, Mon - Fri",Walk,Work,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Use another train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Waiting for signal change,True,Unaware,,,,online,2019-01-07,21:24:00,1,Monday,21,False
2,~5 days per week,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,,online,2019-01-07,21:25:00,1,Monday,21,False
1,Everyday / Almost everyday,Walk,School,20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,Walk,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,True,Positive,,,11385,online,2019-01-07,21:27:00,1,Monday,21,False
A,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-07,21:27:00,1,Monday,21,False
R,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,11209,online,2019-01-07,21:28:00,1,Monday,21,False
5,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,False,Positive,,,10009,online,2019-01-07,21:28:00,1,Monday,21,False
D,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'High fares', 'Lack of handicap access']",Train traffic,False,Positive,,,,online,2019-01-07,21:29:00,1,Monday,21,False
N,~5 days per week,Walk,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Take a bus,Only on weekends,"['High fares', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,False,Negative,,,11204,online,2019-01-07,21:29:00,1,Monday,21,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Lack of handicap access']",Signal malfunction,True,Negative,,,11221,online,2019-01-07,21:29:00,1,Monday,21,False
2,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,,10 - 20 min,Use another train,Only at night,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Unaware,,,,online,2019-01-07,21:29:00,1,Monday,21,False
E,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Rarely,20 - 45 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Lack of handicap access']",Train traffic,True,Neutral,,,,online,2019-01-07,21:30:00,1,Monday,21,False
3,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Use another train,Almost never,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,True,Positive,,,,online,2019-01-07,21:30:00,1,Monday,21,False
E,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only at night,"['High fares', 'Customer service', 'Overcrowded trains']",Signal malfunction,False,Positive,,,11372,online,2019-01-07,21:31:00,1,Monday,21,False
F,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,,Use another train,All the time,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Neutral,,,,online,2019-01-07,21:31:00,1,Monday,21,False
4,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Unaware,,,,online,2019-01-07,21:31:00,1,Monday,21,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Take a bus,Only on weekends,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Neutral,,,,online,2019-01-07,21:31:00,1,Monday,21,False
4,"Weekdays, Mon - Fri",Drive personal vehicle,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Crime / Safety']",Train traffic,False,Positive,,,,online,2019-01-07,21:32:00,1,Monday,21,False
J,"More than once a week, varies",Walk,Work,< 20 min,Not satisfied,Rarely,5 - 10 min,Walk,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,,,,online,2019-01-07,21:32:00,1,Monday,21,False
1,Everyday / Almost everyday,Walk,Work,60 - 90 min,Neutral,A few times a week,10 - 20 min,Wait for next train,All the time,"['Frequent route changes', 'High fares', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-07,21:34:00,1,Monday,21,False
1,Almost never,Walk,Other,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Negative,,,11235,online,2019-01-07,21:34:00,1,Monday,21,False
F,Everyday / Almost everyday,,Work,20 - 40 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-07,21:35:00,1,Monday,21,False
F,"More than once a week, varies",Walk,Other,< 20 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Customer service', 'Station infrastructure']",No reason is given,True,Other / No thoughts,,,10019,online,2019-01-07,21:35:00,1,Monday,21,False
4,"Weekdays, Mon - Fri",Metro North,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Customer service', 'Station infrastructure', 'Lack of handicap access']",Train traffic,False,Positive,,,10708,online,2019-01-07,21:35:00,1,Monday,21,False
F,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,Everyday,45 - 60 min,Use another train,All the time,"['Delays', 'High fares', 'Customer service']",Signal malfunction,False,Negative,,,,online,2019-01-07,21:35:00,1,Monday,21,False
L,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Station infrastructure', 'Old trains']",Waiting for signal change,True,Positive,,,,online,2019-01-07,21:36:00,1,Monday,21,False
A,Everyday / Almost everyday,Walk,School,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,11233,online,2019-01-07,21:36:00,1,Monday,21,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,,,11233,online,2019-01-07,21:37:00,1,Monday,21,False
